collection1,,,,
Number,Name,NameLink,Egg1,Egg1Link
1,Bulbasaur,http://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
2,Ivysaur,http://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
3,Venusaur,http://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
4,Charmander,http://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
5,Charmeleon,http://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
6,Charizard,http://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
7,Squirtle,http://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
8,Wartortle,http://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
9,Blastoise,http://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
10,Caterpie,http://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
11,Metapod,http://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
12,Butterfree,http://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
13,Weedle,http://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
14,Kakuna,http://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
