collection1,,,,,
Number,Name,NameLink,Type1,Egg1,Egg1num
1,Bulbasaur,http://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon),Grass,Monster,1
2,Ivysaur,http://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon),Grass,Monster,1
3,Venusaur,http://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),Grass,Monster,1
4,Charmander,http://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon),Fire,Monster,1
5,Charmeleon,http://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon),Fire,Monster,1
6,Charizard,http://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),Fire,Monster,1
7,Squirtle,http://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon),Water,Monster,1
8,Wartortle,http://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon),Water,Monster,1
9,Blastoise,http://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon),Water,Monster,1
10,Caterpie,http://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon),Bug,Bug,3
11,Metapod,http://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon),Bug,Bug,3
12,Butterfree,http://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon),Bug,Bug,3
13,Weedle,http://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon),Bug,Bug,3
14,Kakuna,http://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon),Bug,Bug,3
15,Beedrill,http://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon),Bug,Bug,3
16,Pidgey,http://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon),Normal,Flying,4
17,Pidgeotto,http://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon),Normal,Flying,4
18,Pidgeot,http://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),Normal,Flying,4
19,Rattata,http://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),Normal,Field,5
20,Raticate,http://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),Normal,Field,5
21,Spearow,http://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon),Normal,Flying,4
22,Fearow,http://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon),Normal,Flying,4
23,Ekans,http://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon),Poison,Field,5
24,Arbok,http://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon),Poison,Field,5
25,Pikachu,http://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon),Electric,Field,5
26,Raichu,http://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),Electric,Field,5
27,Sandshrew,http://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),Ground,Field,5
28,Sandslash,http://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),Ground,Field,5
29,Nidoranä»ó,http://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon),Poison,Monster,1
30,Nidorina,http://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon),Poison,Undiscovered,15
31,Nidoqueen,http://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon),Poison,Undiscovered,15
32,Nidoranä»‰,http://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon),Poison,Monster,1
33,Nidorino,http://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon),Poison,Monster,1
34,Nidoking,http://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon),Poison,Monster,1
35,Clefairy,http://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon),Fairy,Fairy,6
36,Clefable,http://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon),Fairy,Fairy,6
37,Vulpix,http://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),Fire,Field,5
38,Ninetales,http://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),Fire,Field,5
39,Jigglypuff,http://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon),Normal,Fairy,6
40,Wigglytuff,http://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon),Normal,Fairy,6
41,Zubat,http://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon),Poison,Flying,4
42,Golbat,http://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon),Poison,Flying,4
43,Oddish,http://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon),Grass,Grass,7
44,Gloom,http://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon),Grass,Grass,7
45,Vileplume,http://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon),Grass,Grass,7
46,Paras,http://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon),Bug,Bug,3
47,Parasect,http://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon),Bug,Bug,3
48,Venonat,http://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon),Bug,Bug,3
49,Venomoth,http://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon),Bug,Bug,3
50,Diglett,http://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),Ground,Field,5
51,Dugtrio,http://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),Ground,Field,5
52,Meowth,http://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),Normal,Field,5
53,Persian,http://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),Normal,Field,5
54,Psyduck,http://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon),Water,Water 1,2
55,Golduck,http://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon),Water,Water 1,2
56,Mankey,http://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon),Fighting,Field,5
57,Primeape,http://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon),Fighting,Field,5
58,Growlithe,http://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),Fire,Field,5
59,Arcanine,http://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),Fire,Field,5
60,Poliwag,http://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon),Water,Water 1,2
61,Poliwhirl,http://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon),Water,Water 1,2
62,Poliwrath,http://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon),Water,Water 1,2
63,Abra,http://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon),Psychic,Human-Like,8
64,Kadabra,http://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon),Psychic,Human-Like,8
65,Alakazam,http://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),Psychic,Human-Like,8
66,Machop,http://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon),Fighting,Human-Like,8
67,Machoke,http://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon),Fighting,Human-Like,8
68,Machamp,http://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon),Fighting,Human-Like,8
